City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Auki,SB,78.57,overcast clouds,-8.7676,160.7034,Auki Motel
242,Kallithea,GR,76.51,few clouds,37.95,23.7,Athens Atrium Hotel
245,Lop Buri,TH,76.01,overcast clouds,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
254,Lorengau,PG,83.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
258,Kawalu,ID,80.55,broken clouds,-7.3817,108.2082,West Jontor
260,Jawhar,SO,84.09,scattered clouds,2.7809,45.5005,Hotel Shabelle
261,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
263,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
264,Tura,IN,87.69,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
265,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
266,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
267,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
273,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
274,Ferry Pass,US,77.65,clear sky,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
277,Les Cayes,HT,78.67,clear sky,18.2,-73.75,Villa Orphee
280,Homun,MX,78.94,clear sky,20.7333,-89.2833,"Restaurant Y Hotel ""Santa Maria"""
283,Abonnema,NG,75.49,light rain,4.7084,6.7931,Corper's Lodge Obonoma
284,Faanui,PF,78.49,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Pasni,PK,81.72,overcast clouds,25.2631,63.471,Kashmiri Hotal
296,Palaikastron,GR,76.77,clear sky,35.2,26.25,Marina Village
297,Omboue,GA,75.94,light rain,-1.5746,9.2618,Hotel Olako
298,Moindou,NC,78.67,clear sky,-21.6924,165.677,Equi-lodge de Moindou
303,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
307,Port Keats,AU,88.3,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
308,Tabas,IR,88.79,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
314,Umm Lajj,SA,85.89,clear sky,25.0213,37.2685,Moon light Furnished Units
315,Khowai,IN,87.58,broken clouds,24.1,91.6333,RD GAMING
319,Nyaunglebin,MM,75.24,overcast clouds,17.95,96.7333,Thi ha
321,Tabanan,ID,81.0,scattered clouds,-8.5413,115.1252,Puri Anom Homestay
323,Dingalan,PH,84.87,overcast clouds,15.3897,121.3929,Fil Dane Inn
325,Tual,ID,81.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
327,Hervey Bay,AU,77.02,few clouds,-25.2986,152.8535,Shelly Bay Resort
334,Karaton,ID,88.29,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
335,Acarau,BR,77.13,scattered clouds,-2.8856,-40.12,castelo pizzaria
337,Roebourne,AU,87.08,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
339,Honiara,SB,81.27,overcast clouds,-9.4333,159.95,Heritage Park Hotel
344,Junnar,IN,77.65,broken clouds,19.2,73.8833,Hotel Anand
347,Uribia,CO,80.83,broken clouds,11.7139,-72.266,Hotel Uribia
