City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Havoysund,NO,70.9963,24.6622,44.83,80,100,18.5,overcast clouds
79,Thompson,CA,55.7435,-97.8558,53.76,100,100,2.3,mist
80,Honningsvag,NO,70.9821,25.9704,44.35,87,100,23.02,overcast clouds
81,Artyom,AZ,40.4723,50.333,79.54,56,0,12.82,clear sky
82,Bengkulu,ID,-3.8004,102.2655,81.61,73,100,6.87,moderate rain
83,Atuona,PF,-9.8,-139.0333,77.13,71,14,21.77,few clouds
84,Conceicao Da Barra,BR,-18.5933,-39.7322,67.39,74,94,4.76,overcast clouds
85,Richards Bay,ZA,-28.783,32.0377,68.13,84,95,10.71,overcast clouds
86,Khatanga,RU,71.9667,102.5,36.1,49,46,13.51,scattered clouds
87,Port Alfred,ZA,-33.5906,26.891,55.18,93,100,4.0,overcast clouds
88,Jamestown,US,42.097,-79.2353,69.71,62,0,9.22,clear sky
89,Airai,TL,-8.9266,125.4092,74.37,53,87,1.43,overcast clouds
90,Te Anau,NZ,-45.4167,167.7167,50.11,86,48,4.99,moderate rain
91,Busselton,AU,-33.65,115.3333,57.63,63,75,20.09,broken clouds
92,Sao Filipe,CV,14.8961,-24.4956,77.49,76,48,7.07,scattered clouds
93,Pincher Creek,CA,49.4833,-113.952,49.87,71,100,9.22,overcast clouds
94,Touros,BR,-5.1989,-35.4608,75.47,79,11,14.38,few clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,57.09,93,100,18.01,overcast clouds
96,Vaini,TO,-21.2,-175.2,75.36,78,40,10.36,scattered clouds
97,Komsomolskiy,UZ,40.4272,71.7189,79.52,25,0,4.61,clear sky
98,Fortuna,US,40.5982,-124.1573,58.66,89,99,4.74,overcast clouds
99,La Ronge,CA,55.1001,-105.2842,50.22,87,20,6.91,few clouds
100,Rio Bueno,CL,-40.3167,-72.9667,31.1,99,11,1.54,few clouds
101,Botwood,CA,49.1499,-55.3482,47.89,75,99,10.18,overcast clouds
102,Luanda,AO,-8.8368,13.2343,70.79,88,73,7.87,broken clouds
103,Kutahya,TR,39.4242,29.9833,60.67,71,53,6.13,broken clouds
104,Thunder Bay,CA,48.4001,-89.3168,53.51,100,40,4.61,scattered clouds
105,Vilhena,BR,-12.7406,-60.1458,72.81,73,31,4.5,scattered clouds
106,Cidreira,BR,-30.1811,-50.2056,61.25,79,100,17.16,light rain
107,Prince Rupert,CA,54.3161,-130.3201,58.69,78,0,12.66,clear sky
108,Fare,PF,-16.7,-151.0167,77.81,76,12,18.43,light rain
